Title,Year,Directors,Rating10,WatchedDate
"Vilaine",2008,Jean-Patrick Benes Allan Mauduit,5,2022-06-28
"Licorice Pizza",2021,Paul Thomas Anderson,6,2022-06-25
"Eiffel",2021,Martin Bourboulon,4,2022-06-19
"Stillwater",2021,Tom McCarthy,6,1970-01-01
"The Painted Veil",2006,John Curran,6,2022-03-04
"X",2022,Ti West,5,2022-06-13
"Ambulance",2022,Michael Bay,6,2022-06-12
"Jurassic World: Fallen Kingdom",2018,J. A. Bayona,4,2022-06-11
"Top Gun",1986,Tony Scott,7,2022-06-05
"Top Gun: Maverick",2022,Joseph Kosinski,6,2022-06-06
"Coupez !",2022,Michel Hazanavicius,7,2022-05-23
"The Northman",2022,Robert Eggers,6,2022-05-15
"Venom: Let There Be Carnage",2021,Andy Serkis,3,2022-05-07
"Venom",2018,Ruben Fleischer,4,2022-05-04
"Loin du périph",2022,Louis Leterrier,4,2022-05-06
"Qing dian da sheng",2005,Jeffrey Lau,NaN,1970-01-01
"The Mist",2007,Frank Darabont,5,2022-05-02
"Svart krabba",2022,Adam Berg,4,2022-04-18
"Last Night in Soho",2021,Edgar Wright,6,2022-03-31
"Keeping the Faith",2000,Edward Norton,NaN,1970-01-01
"The People vs. Larry Flynt",1996,Miloš Forman,NaN,1970-01-01
"Deux moi",2019,Cédric Klapisch,6,2020-08-17
"Mou gaan dou III: Jung gik mou gaan",2003,Alan Mak Andrew Lau,4,2022-03-29
"Les Crevettes pailletées",2019,Cédric Le Gallo Maxime Govare,6,2022-03-29
"L'Opération Corned Beef",1991,Jean-Marie Poiré,6,2022-03-25
"Mou gaan dou II",2003,Andrew Lau Alan Mak,5,2022-03-25
"Mou gaan dou",2002,Andrew Lau Alan Mak,8,2022-03-22
"Turning Red",2022,Domee Shi,7,2022-03-14
"Nightmare Alley",2021,Guillermo del Toro,7,2022-03-05
"Nordsjøen",2021,John Andreas Andersen,5,2022-03-02
"The Batman",2022,Matt Reeves,5,2022-03-02
"Onoda",2021,Arthur Harari,8,2022-03-01
"Doraibu mai kâ",2021,Ryusuke Hamaguchi,7,2022-03-01
"Scream",2022,Matt Bettinelli-Olpin Tyler Gillett,4,2022-02-28
"Downton Abbey",2019,Michael Engler,6,2022-02-05
"L'Origine du monde",2021,Laurent Lafitte,7,2022-02-21
"Molalsaenseu",2022,Park Hyun-Jin,5,2022-02-11
"Zero Dark Thirty",2012,Kathryn Bigelow,8,2022-02-03
"25th Hour",2002,Spike Lee,NaN,1970-01-01
"Jungle Cruise",2021,Jaume Collet-Serra,5,2022-01-25
"Boîte noire",2021,Yann Gozlan,7,2022-01-18
"Yau doh lung fu bong",2004,Johnnie To,7,2022-01-18
"Pleasure",2021,Ninja Thyberg,7,2022-01-13
"No Time to Die",2021,Cary Joji Fukunaga,4,2022-01-12
"Le Discours",2021,Laurent Tirard,7,2021-12-01
"Dirty Dancing",1987,Emile Ardolino,6,2021-06-21
"Il Divin Codino",2021,Letizia Lamartire,4,2021-06-12
"Army of the Dead",2021,Zack Snyder,4,2021-06-12
"Godzilla vs. Kong",2021,Adam Wingard,2,2021-08-01
"8 rue de l'Humanité",2021,Dany Boon,3,2021-11-01
"Don't Look Up",2021,Adam McKay,4,2021-12-26
"France",2021,Bruno Dumont,6,2022-01-09
"JeSuisLà",2020,Éric Lartigau,7,2020-11-05
"Les Beaux Gosses",2009,Riad Sattouf,8,2022-01-01
"Quatre garçons pleins d'avenir",1997,Jean-Paul Lilienfeld,6,2022-01-01
"Kaamelott - Premier Volet",2021,Alexandre Astier,7,2021-07-27
"The Ten Commandments",1956,Cecil B. DeMille,9,2021-12-27
"J'accuse",2019,Roman Polanski,8,2019-12-20
"Adieu les cons",2020,Albert Dupontel,7,2021-12-19
"The French Dispatch",2021,Wes Anderson,6,2021-11-06
"L'amour est un crime parfait",2014,Jean-Marie Larrieu Arnaud Larrieu,6,2021-11-03
"Free Guy",2021,Shawn Levy,6,2021-10-17
"The Last Duel",2021,Ridley Scott,7,2021-10-15
"Old",2021,M. Night Shyamalan,5,2021-10-15
"Dune",2021,Denis Villeneuve,4,2021-10-02
"Live Free or Die Hard",2007,Len Wiseman,6,2021-09-27
"Le Cercle rouge",1970,Jean-Pierre Melville,8,2021-09-12
"Le Cerveau",1969,Gérard Oury,NaN,1970-01-01
"BAC Nord",2021,Cédric Jimenez,6,2021-08-24
"OSS 117 - Alerte rouge en Afrique noire",2021,Nicolas Bedos,6,2021-08-15
"Titane",2021,Julia Ducournau,4,2021-08-05
"Greyhound",2020,Aaron Schneider,5,2021-07-31
"Downsizing",2017,Alexander Payne,4,2021-07-31
"Annette",2021,Leos Carax,7,2021-07-26
"Geostorm",2017,Dean Devlin,4,2021-07-18
